                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.114,                 1.3317,                 1.3919,                 0.6789,                0.58629,                0.63871,                0.25945,                 1.9783,                 1.2615,                 1.4383,             0.00052359,             0.00052359,             0.00052359
                     35,                 2.1227,                 1.3316,                 1.3847,                0.70071,                0.58085,                0.63909,                0.25782,                 1.9677,                 1.2098,                 1.4462,             0.00049529,             0.00049529,             0.00049529
                     36,                 2.0915,                 1.3216,                 1.3917,                0.69643,                 0.5705,                0.63214,                0.24974,                  1.971,                 1.2266,                 1.4331,               0.000467,               0.000467,               0.000467
                     37,                 2.0907,                 1.3064,                 1.3751,                0.71614,                0.59361,                0.66276,                0.26757,                  1.939,                 1.1679,                 1.4138,              0.0004387,              0.0004387,              0.0004387
                     38,                 2.0994,                 1.2837,                 1.3684,                0.72486,                 0.6068,                0.66948,                0.28199,                 1.9256,                 1.1659,                 1.4101,             0.00041041,             0.00041041,             0.00041041
                     39,                 2.0788,                 1.2715,                 1.3697,                0.70474,                0.58555,                0.65622,                0.27403,                  1.933,                 1.1625,                 1.4098,             0.00038211,             0.00038211,             0.00038211
                     40,                 2.0725,                 1.2564,                 1.3536,                0.73692,                0.61567,                0.68522,                0.29025,                 1.8962,                 1.1177,                 1.3899,             0.00035382,             0.00035382,             0.00035382
                     41,                 2.0371,                 1.2187,                 1.3648,                0.71899,                 0.6117,                0.66503,                0.27883,                 1.9139,                 1.1772,                 1.3922,             0.00032553,             0.00032553,             0.00032553
                     42,                 2.0023,                 1.1911,                 1.3602,                0.74152,                0.60539,                0.68133,                0.28223,                 1.9153,                 1.1187,                 1.3875,             0.00029723,             0.00029723,             0.00029723
                     43,                 2.0009,                 1.1747,                 1.3754,                0.73342,                 0.6109,                0.68382,                0.28364,                 1.9047,                 1.1502,                 1.3939,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.9692,                 1.1476,                 1.3538,                0.73334,                0.60947,                0.68343,                0.29091,                 1.8851,                  1.101,                 1.3781,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.9869,                 1.1311,                 1.3434,                0.74627,                0.61647,                0.69111,                0.29335,                 1.8811,                 1.0973,                 1.3735,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.9696,                  1.124,                 1.3416,                0.74696,                0.62479,                0.69907,                0.30106,                 1.8685,                 1.0619,                 1.3726,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.9586,                 1.1184,                 1.3484,                0.76121,                0.63224,                0.70679,                0.30421,                 1.8532,                 1.0756,                 1.3605,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.9528,                 1.1022,                 1.3294,                0.76773,                0.62754,                0.70751,                0.30952,                 1.8453,                 1.0506,                  1.358,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.9375,                 1.0967,                 1.3265,                 0.7662,                0.62997,                0.70827,                0.30972,                 1.8461,                  1.039,                 1.3586,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.9585,                 1.1008,                  1.318,                0.76829,                0.63648,                0.71681,                 0.3133,                 1.8351,                 1.0351,                 1.3523,             7.0878e-05,             7.0878e-05,             7.0878e-05
